Name,Regular price,Categories
Espresso,3.0,Espresso based
Doppio,3.5,Espresso based
Cortado,3.5,Espresso based
Espresso Macchiato,3.5,Espresso based
Americano - small,3.0,Espresso based
Americano - big,3.5,Espresso based
Cappuccino - small,4.0,Espresso based
Cappuccino - big,5.0,Espresso based
Flat White,4.5,Espresso based
Latte - small,4.5,Espresso based
Latte - big,5.0,Espresso based
Mochacino,4.5,Café barista
Gold Cappuccino - small,4.5,Café barista
Gold Cappuccino - big,5.5,Café barista
Café Shakerato,6.0,Café barista
Affogato,6.0,Café barista
Caramel latte,6.0,Café barista
Café Viennois,4.5,Café barista
Royal 24 Carat gold cappuccino - small,5.5,The kingdom of Aksum
Royal 24 Carat gold cappuccino - big,6.5,The kingdom of Aksum
Aksum coffee,6.5,The kingdom of Aksum
Marrakech,5.0,Teas
Moroccan tea,5.0,Teas
Saffron tea,5.0,Teas
Vanihines,4.5,Teas
Genmaicha,4.5,Teas
Spicy winter tea,6.0,Teas
Rose tea,6.0,Teas
Ginger tea,6.0,Teas
Keynia black tea,4.5,Teas
Infusions: Hibiscus,5.0,Teas
Verbena,5.0,Teas
Hot Chocolate - small,4.0,Other Drinks
Hot Chocolate - big,5.0,Other Drinks
Chili Chocolate - small,4.0,Other Drinks
Chili Chocolate - big,5.0,Other Drinks
Chai small - small,4.0,Other Drinks
Chai small - big,5.0,Other Drinks
Pumpkin Spice - small,4.0,Other Drinks
Pumpkin Spice - big,5.0,Other Drinks
Ginger bread latte,5.0,Other Drinks
Pink Chai - small,4.0,Other Drinks
Pink Chai - big,5.0,Other Drinks
Matcha blend - small,4.0,Other Drinks
Matcha blend - big,5.0,Other Drinks
Matcha pure - small,4.0,Other Drinks
Matcha pure - big,5.0,Other Drinks
Pure orange,5.0,Juices
Orange,6.5,Juices
Banana,6.5,Juices
Apple,4.5,Juices
Ginger lemon,6.0,Juices
Sunny Mint,6.0,Juices
Immunity,6.5,Juices
Hot ginger lemon,6.5,Juices
Hot apple juice with cinnamon,5.0,Juices
Ginger shot,3.5,Juices
Granola,8.0,Food menu
Aksum Granola,8.5,Food menu
Savoury Aksum Breakfast,9.5,Food menu
Pastilla,12.5,Food menu
Scrambled Eggs with truffle oil,11.5,Food menu
Quiches,12.5,Food menu
"Savory Waffles - Feta (feta cheese and cherry tomatoes)",10.5,Food menu
"Savory Waffles - Truffle (cheese, cherry tomatoes, truffles sauce and honey)",12.5,Food menu
Pastries,3.0,Aksum Sweet Counter
Oriental Pastries,3.5,Aksum Sweet Counter
The Brussels Waffle,6.5,Aksum Sweet Counter
The Liège Waffle,6.5,Aksum Sweet Counter
Vegan Waffle,7.0,Aksum Sweet Counter
Add a topping: Syrup,2.0,Aksum Sweet Counter
Vanilla ice cream,2.5,Aksum Sweet Counter
Whipped cream,1.0,Aksum Sweet Counter
Vegan whipped cream,2.0,Aksum Sweet Counter
Red fruit coulis,2.0,Aksum Sweet Counter
Banana,2.0,Aksum Sweet Counter
